GEOAREA_ID,GEOAREA_NAME,GEOAREA_POINTTOTAL,GEOAREA_POINTLIST
7317,11-八区-四季青-中坞,12,"116.242865,39.986823;116.252789,39.987398;116.264312,39.981846;116.270899,39.980005;116.274121,39.980671;116.277864,39.973864;116.270802,39.969365;116.268729,39.965953;116.270217,39.954364;116.24075,39.955525;116.230324,39.979176;116.242865,39.986823"
7328,12-八区-四季青-佟家坟,11,"116.24075,39.955525;116.270217,39.954364;116.268936,39.932371;116.26603,39.928449;116.260553,39.934012;116.250173,39.939565;116.231756,39.939878;116.231676,39.944613;116.233624,39.948223;116.241282,39.948814;116.24075,39.955525"
7339,13-八区-五棵松-什坊院,14,"116.225736,39.940041;116.231756,39.939878;116.250173,39.939565;116.260553,39.934012;116.26603,39.928449;116.266511,39.923062;116.251287,39.922763;116.242223,39.925592;116.227901,39.923363;116.212393,39.923247;116.20902,39.927694;116.208914,39.930038;116.225463,39.930604;116.225736,39.940041"
7350,14-八区-五棵松-铁家坟,11,"116.227901,39.923363;116.242223,39.925592;116.251287,39.922763;116.266511,39.923062;116.26682,39.920309;116.26917,39.918086;116.268223,39.908997;116.268233,39.906177;116.24716,39.906234;116.229017,39.906245;116.227901,39.923363"
7361,15-八区-五棵松-铁家坟南,9,"116.247025,39.880129;116.247068,39.887811;116.24716,39.906234;116.268233,39.906177;116.268776,39.886302;116.268602,39.883737;116.257324,39.88346;116.251704,39.879692;116.247025,39.880129"
7372,16-八区-五棵松-朱各庄,8,"116.268223,39.908997;116.26917,39.918086;116.290278,39.918643;116.303443,39.914783;116.304304,39.906697;116.296196,39.905912;116.268233,39.906177;116.268223,39.908997"
7383,17-八区-五棵松-朱各庄南,8,"116.268233,39.906177;116.296196,39.905912;116.296084,39.89507;116.293234,39.888426;116.289086,39.888452;116.289104,39.885497;116.268776,39.886302;116.268233,39.906177"
7394,18-八区-展览路-展览路北,11,"116.319648,39.937638;116.32115,39.94087;116.331429,39.943603;116.336507,39.941927;116.3401,39.942969;116.343771,39.942373;116.34618,39.939276;116.349576,39.939196;116.349821,39.931086;116.319777,39.930241;116.319648,39.937638"
7405,19-八区-展览路-展览路南,6,"116.319777,39.930241;116.349821,39.931086;116.350194,39.921848;116.328513,39.921798;116.3199,39.922284;116.319777,39.930241"
7417,20-八区-紫竹院-北洼村,9,"116.28879,39.946916;116.31265,39.938107;116.319648,39.937638;116.319777,39.930241;116.3199,39.922284;116.304234,39.922257;116.303443,39.914783;116.290278,39.918643;116.28879,39.946916"
7427,21-八区-紫竹院-汇景阁,9,"116.28879,39.946916;116.2894,39.957353;116.297189,39.958813;116.302555,39.961663;116.31471,39.965678;116.316356,39.962895;116.319648,39.937638;116.31265,39.938107;116.28879,39.946916"
7428,22-昌平-北七家-北七家镇,19,"116.362051,40.114106;116.371686,40.129965;116.391938,40.131238;116.394642,40.142938;116.396732,40.146481;116.403293,40.151102;116.411676,40.153256;116.419924,40.153049;116.43433,40.148877;116.474608,40.146984;116.475998,40.140675;116.478473,40.138914;116.483828,40.116713;116.486085,40.110295;116.484025,40.101664;116.405836,40.10294;116.365212,40.099375;116.360314,40.111247;116.362051,40.114106"
7429,23-昌平-北七家-天通苑,21,"116.365212,40.099375;116.405836,40.10294;116.484025,40.101664;116.475595,40.095967;116.467191,40.095806;116.459323,40.091761;116.461365,40.085904;116.458334,40.080396;116.454058,40.078217;116.452472,40.075581;116.450259,40.062521;116.444283,40.059905;116.420608,40.059116;116.424153,40.068598;116.427981,40.071625;116.42621,40.07271;116.406797,40.072829;116.40773,40.078135;116.406757,40.093261;116.366633,40.096014;116.365212,40.099375"
7430,24-昌平-昌平镇-昌平镇,31,"116.16935,40.230051;116.170381,40.238668;116.188508,40.260232;116.207393,40.276716;116.235432,40.284643;116.239846,40.277707;116.248803,40.27191;116.25724,40.263042;116.269247,40.255314;116.27074,40.235299;116.282942,40.236488;116.31851,40.220437;116.326817,40.22004;116.356414,40.227769;116.382173,40.231597;116.382182,40.226741;116.368904,40.225762;116.356471,40.204844;116.352183,40.197629;116.289413,40.195914;116.289377,40.193103;116.275625,40.190987;116.212,40.189519;116.198551,40.184413;116.192557,40.191254;116.191284,40.19898;116.177649,40.199655;116.170194,40.210516;116.173598,40.21045;116.175467,40.227778;116.16935,40.230051"
7431,25-昌平-昌平镇-长陵镇,77,"116.138283,40.336204;116.144715,40.334729;116.14722,40.337063;116.149475,40.342631;116.145555,40.34739;116.139903,40.350506;116.141613,40.360305;116.143425,40.361757;116.15125,40.363007;116.153546,40.365324;116.161338,40.366696;116.16329,40.368892;116.16702,40.370043;116.170193,40.369816;116.172685,40.367693;116.182503,40.369674;116.18392,40.372359;116.197895,40.374696;116.205165,40.381742;116.208452,40.382178;116.218225,40.381349;116.22393,40.375954;116.232943,40.377425;116.23551,40.37944;116.238513,40.378171;116.24097,40.373127;116.2433,40.372103;116.24567,40.374205;116.247675,40.379613;116.252725,40.381089;116.261593,40.381798;116.272965,40.375974;116.276125,40.375905;116.280588,40.380609;116.279817,40.393087;116.285905,40.390947;116.286447,40.384962;116.289225,40.384515;116.299775,40.388326;116.305945,40.388917;116.321405,40.383657;116.336565,40.372704;116.34456,40.370948;116.349696,40.366724;116.348375,40.363645;116.341594,40.363469;116.317352,40.35825;116.334425,40.307345;116.303472,40.306081;116.382148,40.245092;116.382173,40.231597;116.356414,40.227769;116.326817,40.22004;116.31851,40.220437;116.282942,40.236488;116.27074,40.235299;116.269247,40.255314;116.25724,40.263042;116.248803,40.27191;116.239846,40.277707;116.235432,40.284643;116.207393,40.276716;116.188508,40.260232;116.179007,40.260461;116.160659,40.279439;116.149166,40.295418;116.133185,40.312657;116.136355,40.315133;116.134809,40.321103;116.132715,40.323678;116.132478,40.329533;116.137252,40.334959;116.131216,40.335419;116.134468,40.346941;116.139123,40.346893;116.141099,40.338482;116.138283,40.336204"
7432,26-昌平-回龙观-回龙观东,16,"116.347925,40.07879;116.360388,40.079379;116.357911,40.098413;116.365212,40.099375;116.366633,40.096014;116.406757,40.093261;116.40773,40.078135;116.398978,40.078679;116.398752,40.076659;116.377522,40.069491;116.374914,40.070723;116.368255,40.071752;116.362973,40.068461;116.349707,40.06915;116.348877,40.073642;116.347925,40.07879"
7433,27-昌平-回龙观-周庄,20,"116.357911,40.098413;116.360388,40.079379;116.347925,40.07879;116.348877,40.073642;116.349707,40.06915;116.310957,40.069401;116.314655,40.064442;116.293667,40.065333;116.285233,40.081859;116.282266,40.092375;116.297375,40.094474;116.303478,40.08576;116.307401,40.087323;116.306612,40.091186;116.316206,40.095029;116.332111,40.095715;116.333325,40.092143;116.339377,40.092144;116.339355,40.098978;116.357911,40.098413"
7434,28-昌平-南口-居庸关,112,"115.963338,40.263717;115.976243,40.270553;115.977895,40.273487;115.97712,40.28135;115.978555,40.284654;115.97652,40.288153;115.976625,40.294381;115.981925,40.297838;115.984575,40.297025;115.987368,40.298413;115.986105,40.302346;115.972775,40.308056;115.973508,40.311065;115.970645,40.318149;115.97678,40.32006;115.979445,40.32293;115.989205,40.327928;115.99229,40.327863;115.994193,40.325631;115.997132,40.325138;116.004775,40.332044;116.01302,40.33302;116.021365,40.323663;116.023905,40.315186;116.029068,40.310903;116.032372,40.311498;116.0335,40.314984;116.044355,40.315255;116.047875,40.319421;116.045493,40.324217;116.048885,40.327809;116.051102,40.334067;116.054853,40.335287;116.058565,40.335343;116.065675,40.338609;116.074915,40.334687;116.078698,40.329965;116.10193,40.329697;116.107665,40.324815;116.116508,40.311692;116.127045,40.310487;116.133185,40.312657;116.149166,40.295418;116.160659,40.279439;116.179007,40.260461;116.188508,40.260232;116.170381,40.238668;116.16935,40.230051;116.147287,40.23524;116.14432,40.239015;116.132454,40.242789;116.127509,40.234485;116.123553,40.232598;116.114653,40.231466;116.102292,40.225426;116.07658,40.183906;116.062241,40.174092;116.057791,40.166543;116.034057,40.160126;116.018234,40.142386;116.012795,40.139366;115.998456,40.135592;115.982634,40.135214;115.972744,40.142009;115.967305,40.139744;115.963844,40.141254;115.951483,40.140121;115.929727,40.146161;115.923423,40.142575;115.907971,40.146538;115.90004,40.140799;115.890662,40.14045;115.887204,40.143518;115.878634,40.142642;115.862188,40.150371;115.85524,40.148641;115.847195,40.16249;115.848308,40.165496;115.845234,40.164634;115.842152,40.167851;115.847178,40.171504;115.849966,40.17537;115.849961,40.178161;115.853031,40.180954;115.848272,40.184383;115.853853,40.190184;115.863085,40.186973;115.870632,40.187839;115.872577,40.19385;115.87481,40.195784;115.875078,40.201794;115.880944,40.20459;115.883734,40.207812;115.880653,40.210814;115.882885,40.213177;115.880359,40.218326;115.889011,40.22649;115.8957,40.237228;115.899894,40.237018;115.903533,40.234875;115.907725,40.235522;115.910797,40.237242;115.909392,40.241319;115.913583,40.242396;115.914137,40.245187;115.920002,40.248627;115.932573,40.254004;115.944317,40.252728;115.951021,40.255739;115.955217,40.254884;115.960526,40.256392;115.963338,40.263717"
7435,29-昌平-南口-流村镇,84,"115.90004,40.140799;115.907971,40.146538;115.923423,40.142575;115.929727,40.146161;115.951483,40.140121;115.963844,40.141254;115.967305,40.139744;115.972744,40.142009;115.982634,40.135214;115.998456,40.135592;116.012795,40.139366;116.018234,40.142386;116.034057,40.160126;116.057791,40.166543;116.062241,40.174092;116.07658,40.183906;116.102292,40.225426;116.114653,40.231466;116.123553,40.232598;116.127509,40.234485;116.132454,40.242789;116.14432,40.239015;116.147287,40.23524;116.16935,40.230051;116.175467,40.227778;116.173598,40.21045;116.170194,40.210516;116.177649,40.199655;116.191284,40.19898;116.192557,40.191254;116.198551,40.184413;116.20028,40.182119;116.17819,40.174929;116.183235,40.167743;116.183555,40.154069;116.177403,40.156114;116.175585,40.145921;116.161555,40.141336;116.160281,40.138267;116.1609,40.13483;116.164378,40.131535;116.16444,40.126818;116.160513,40.127261;116.16259,40.125119;116.160185,40.123071;116.146587,40.120722;116.126765,40.120149;116.125448,40.113961;116.123333,40.115952;116.107128,40.115233;116.100528,40.117296;116.095005,40.116461;116.090045,40.120701;116.07856,40.119135;116.068355,40.112026;116.06424,40.104637;116.05839,40.102424;116.05199,40.096545;116.045793,40.089661;116.0426,40.083581;116.037425,40.083611;116.033125,40.079267;116.030795,40.081357;116.021505,40.074818;116.017505,40.075113;116.007598,40.079458;115.987865,40.08315;115.979095,40.080828;115.969545,40.076223;115.966938,40.084582;115.961155,40.090917;115.96144,40.101696;115.957505,40.10019;115.955418,40.097446;115.949455,40.10185;115.943135,40.103673;115.947173,40.108974;115.943385,40.114541;115.926945,40.130811;115.921575,40.135087;115.914925,40.13683;115.912735,40.139428;115.904165,40.138146;115.90004,40.140799"
7437,30-昌平-沙河-沙河镇,36,"116.17819,40.174929;116.20028,40.182119;116.198551,40.184413;116.212,40.189519;116.275625,40.190987;116.289377,40.193103;116.289054,40.168058;116.318311,40.146622;116.318044,40.139753;116.344205,40.128724;116.371686,40.129965;116.362051,40.114106;116.349372,40.115447;116.299668,40.110887;116.296686,40.115447;116.283101,40.112153;116.277965,40.114433;116.272497,40.11418;116.234981,40.108886;116.236788,40.11184;116.236275,40.117036;116.239225,40.117295;116.241006,40.133974;116.234645,40.133492;116.224782,40.135111;116.209279,40.140627;116.206526,40.13866;116.20306,40.138721;116.199785,40.144193;116.199555,40.149302;116.196431,40.158433;116.187717,40.156499;116.187146,40.153254;116.183555,40.154069;116.183235,40.167743;116.17819,40.174929"
7438,31-昌平-沙河-朱辛庄,38,"116.234981,40.108886;116.272497,40.11418;116.277965,40.114433;116.283101,40.112153;116.296686,40.115447;116.299668,40.110887;116.349372,40.115447;116.362051,40.114106;116.360314,40.111247;116.365212,40.099375;116.357911,40.098413;116.339355,40.098978;116.339377,40.092144;116.333325,40.092143;116.332111,40.095715;116.316206,40.095029;116.306612,40.091186;116.307401,40.087323;116.303478,40.08576;116.297375,40.094474;116.282266,40.092375;116.285233,40.081859;116.273333,40.080099;116.266598,40.093476;116.259666,40.09363;116.257301,40.096374;116.259925,40.096843;116.260278,40.099932;116.257785,40.101803;116.257673,40.106171;116.255496,40.109352;116.251905,40.10937;116.253694,40.106665;116.251813,40.103916;116.246355,40.105424;116.239299,40.104406;116.236743,40.105679;116.234981,40.108886"
7439,32-昌平-小汤山-小汤山镇,30,"116.289377,40.193103;116.289413,40.195914;116.352183,40.197629;116.356471,40.204844;116.425508,40.205761;116.466608,40.208154;116.466583,40.203611;116.483071,40.191111;116.482805,40.176717;116.479283,40.175809;116.477325,40.16937;116.474595,40.169511;116.472654,40.161492;116.481645,40.157689;116.480815,40.148511;116.477205,40.149404;116.474608,40.146984;116.43433,40.148877;116.419924,40.153049;116.411676,40.153256;116.403293,40.151102;116.396732,40.146481;116.394642,40.142938;116.391938,40.131238;116.371686,40.129965;116.344205,40.128724;116.318044,40.139753;116.318311,40.146622;116.289054,40.168058;116.289377,40.193103"
7440,33-昌平-小汤山-兴寿镇,58,"116.341594,40.363469;116.338978,40.356746;116.34159,40.355527;116.355083,40.358849;116.35907,40.357675;116.360305,40.354947;116.35641,40.348323;116.359788,40.339609;116.357822,40.332754;116.366095,40.332344;116.36459,40.335827;116.368053,40.338033;116.373215,40.338735;116.38036,40.338252;116.387655,40.334394;116.398513,40.334812;116.400538,40.332657;116.411705,40.329522;116.414695,40.330556;116.424365,40.328786;116.429995,40.332646;116.436425,40.32232;116.440295,40.321294;116.448238,40.314363;116.437246,40.302418;116.439883,40.300283;116.443765,40.293044;116.442385,40.284562;116.448473,40.284471;116.451115,40.28671;116.453895,40.286733;116.459795,40.284639;116.463095,40.282807;116.464205,40.280248;116.472525,40.279672;116.47794,40.276107;116.480485,40.266172;116.501693,40.261478;116.49927,40.252155;116.496073,40.250552;116.493333,40.252199;116.476933,40.244822;116.479175,40.222207;116.477275,40.224675;116.472715,40.22466;116.471055,40.220792;116.467575,40.22101;116.466608,40.208154;116.425508,40.205761;116.356471,40.204844;116.368904,40.225762;116.382182,40.226741;116.382173,40.231597;116.382148,40.245092;116.303472,40.306081;116.334425,40.307345;116.317352,40.35825;116.341594,40.363469"
7441,34-大兴-黄村-鹅房,29,"116.244845,39.7902;116.247123,39.792884;116.251185,39.795089;116.25509,39.79535;116.256685,39.7921;116.261241,39.792766;116.266522,39.778829;116.27156,39.773303;116.282836,39.772566;116.293522,39.778405;116.299028,39.77113;116.303835,39.768218;116.30075,39.756889;116.291897,39.753463;116.293628,39.724759;116.290243,39.724286;116.291391,39.71177;116.267934,39.706293;116.259894,39.707043;116.250166,39.711094;116.240367,39.719775;116.241427,39.725541;116.240582,39.730844;116.237173,39.73309;116.236543,39.736141;116.236985,39.739718;116.245088,39.747142;116.246085,39.758493;116.244845,39.7902"
7442,35-大兴-黄村-黄村镇,31,"116.30075,39.756889;116.303286,39.75508;116.311106,39.755694;116.313362,39.757304;116.320072,39.756127;116.334568,39.757128;116.337324,39.758337;116.337514,39.761372;116.347921,39.761531;116.34824,39.766383;116.351216,39.766604;116.353472,39.764822;116.354717,39.761398;116.357848,39.761597;116.36084,39.755984;116.356815,39.754533;116.358312,39.748224;116.343861,39.746972;116.346847,39.724088;116.35839,39.722447;116.371235,39.723368;116.370409,39.712209;116.356561,39.705824;116.320984,39.697219;116.30941,39.701158;116.302428,39.70806;116.291391,39.71177;116.290243,39.724286;116.293628,39.724759;116.291897,39.753463;116.30075,39.756889"
7443,36-大兴-黄村-狼垡,13,"116.261241,39.792766;116.269885,39.796001;116.281799,39.797971;116.282693,39.796377;116.284822,39.793063;116.279277,39.790932;116.285014,39.782115;116.291228,39.784025;116.293522,39.778405;116.282836,39.772566;116.27156,39.773303;116.266522,39.778829;116.261241,39.792766"
7444,37-大兴-黄村-李村,34,"116.320984,39.697219;116.356561,39.705824;116.370409,39.712209;116.371235,39.723368;116.394724,39.725065;116.396227,39.729534;116.395634,39.738636;116.396918,39.741321;116.400914,39.741382;116.408448,39.736836;116.411965,39.721414;116.431395,39.723238;116.431587,39.713721;116.418429,39.712334;116.418963,39.703794;116.421948,39.697471;116.415679,39.697658;116.416408,39.694674;116.414343,39.692519;116.411043,39.692324;116.409034,39.694384;116.404712,39.694205;116.402904,39.692076;116.38701,39.69096;116.382987,39.694275;116.365535,39.692747;116.360799,39.691333;116.36117,39.686652;116.359494,39.683495;116.340348,39.680924;116.32795,39.681963;116.322666,39.684895;116.323067,39.694718;116.320984,39.697219"
7445,38-大兴-庞各庄-庞各庄镇,71,"116.210025,39.642055;116.212886,39.656751;116.215902,39.65964;116.216675,39.663915;116.214915,39.666642;116.215035,39.673104;116.212645,39.678281;116.216805,39.685243;116.222545,39.688825;116.219645,39.694089;116.221955,39.699803;116.222388,39.706091;116.235765,39.714233;116.240367,39.719775;116.250166,39.711094;116.259894,39.707043;116.267934,39.706293;116.291391,39.71177;116.302428,39.70806;116.30941,39.701158;116.320984,39.697219;116.323067,39.694718;116.322666,39.684895;116.32795,39.681963;116.340348,39.680924;116.359494,39.683495;116.36117,39.686652;116.360799,39.691333;116.365535,39.692747;116.382987,39.694275;116.38701,39.69096;116.402904,39.692076;116.404712,39.694205;116.409034,39.694384;116.411043,39.692324;116.414343,39.692519;116.416408,39.694674;116.415679,39.697658;116.421948,39.697471;116.437532,39.697795;116.457287,39.689724;116.479437,39.673046;116.482551,39.669239;116.482997,39.664586;116.478556,39.657721;116.476961,39.650082;116.470439,39.639308;116.469209,39.631485;116.470708,39.628054;116.484711,39.616751;116.484218,39.612941;116.465014,39.588015;116.445299,39.585348;116.42918,39.585338;116.389946,39.578799;116.381455,39.579055;116.377628,39.584258;116.373186,39.586651;116.364373,39.586378;116.360832,39.584102;116.361002,39.574895;116.339978,39.572515;116.321251,39.573193;116.30329,39.575943;116.217852,39.572755;116.215498,39.578639;116.218165,39.581056;116.220415,39.587701;116.2124,39.606497;116.212335,39.627885;116.210025,39.642055"
7446,39-大兴-青云店-安定镇,90,"116.431395,39.723238;116.440905,39.724723;116.445844,39.727186;116.455867,39.726037;116.457653,39.721863;116.468116,39.714283;116.503506,39.671647;116.517354,39.673542;116.528125,39.671647;116.557976,39.662883;116.570593,39.655777;116.60229,39.651513;116.615523,39.652461;116.617985,39.645591;116.63091,39.642275;116.655222,39.627116;116.689996,39.614799;116.684698,39.60094;116.682595,39.597613;116.663485,39.600946;116.657095,39.603322;116.651185,39.601297;116.648875,39.598474;116.644355,39.598329;116.644055,39.602113;116.643385,39.597688;116.639095,39.597398;116.638895,39.600999;116.636645,39.603311;116.630095,39.600034;116.621675,39.598764;116.614725,39.600789;116.614325,39.605405;116.610785,39.605771;116.610515,39.612664;116.606605,39.612886;116.606115,39.615754;116.602465,39.620649;116.596805,39.622361;116.594255,39.620523;116.594095,39.617089;116.587525,39.616441;116.586625,39.619226;116.584445,39.616971;116.582665,39.619733;116.573435,39.621064;116.573915,39.617551;116.560595,39.617311;116.564775,39.61205;116.565125,39.609155;116.561495,39.609143;116.563005,39.60539;116.560875,39.603303;116.559796,39.594321;116.556487,39.591818;116.546265,39.590707;116.540632,39.593204;116.538575,39.595487;116.540605,39.597665;116.539465,39.601621;116.536165,39.599721;116.537405,39.596021;116.536725,39.592473;116.529175,39.593866;116.524675,39.597219;116.516665,39.592092;116.516525,39.585496;116.506724,39.577711;116.496501,39.575495;116.489437,39.575723;116.476215,39.578971;116.468705,39.583154;116.465014,39.588015;116.484218,39.612941;116.484711,39.616751;116.470708,39.628054;116.469209,39.631485;116.470439,39.639308;116.476961,39.650082;116.478556,39.657721;116.482997,39.664586;116.482551,39.669239;116.479437,39.673046;116.457287,39.689724;116.437532,39.697795;116.421948,39.697471;116.418963,39.703794;116.418429,39.712334;116.431587,39.713721;116.431395,39.723238"
7448,40-大兴-青云店-长子营镇,71,"116.455867,39.726037;116.459907,39.7241;116.478818,39.725157;116.483475,39.723066;116.497754,39.706878;116.502428,39.703871;116.515126,39.702411;116.535781,39.692537;116.567955,39.708421;116.579315,39.711183;116.594828,39.711375;116.594925,39.714719;116.597703,39.713494;116.597475,39.717507;116.616125,39.725973;116.622055,39.726312;116.625405,39.722854;116.630768,39.722633;116.632715,39.714147;116.636155,39.714379;116.638228,39.709316;116.645518,39.706679;116.647005,39.70293;116.642428,39.702645;116.643145,39.699754;116.640295,39.699765;116.641585,39.694039;116.645685,39.693616;116.645165,39.687383;116.649468,39.685657;116.652283,39.686925;116.660065,39.685974;116.6629,39.680525;116.66029,39.678814;116.661063,39.67497;116.663648,39.673841;116.678823,39.675154;116.697725,39.673364;116.699525,39.667569;116.696322,39.657802;116.696735,39.650402;116.70416,39.637192;116.70835,39.638761;116.717843,39.638054;116.718155,39.626871;116.719655,39.622445;116.705791,39.61387;116.718337,39.610796;116.718634,39.606899;116.712625,39.599778;116.715415,39.599519;116.719915,39.593003;116.718485,39.590608;116.706155,39.586805;116.695955,39.586831;116.692205,39.593309;116.684698,39.60094;116.689996,39.614799;116.655222,39.627116;116.63091,39.642275;116.617985,39.645591;116.615523,39.652461;116.60229,39.651513;116.570593,39.655777;116.557976,39.662883;116.528125,39.671647;116.517354,39.673542;116.503506,39.671647;116.468116,39.714283;116.457653,39.721863;116.455867,39.726037"
7449,41-大兴-团河-大白楼,13,"116.361546,39.775907;116.361653,39.783829;116.389798,39.784466;116.390945,39.772563;116.406051,39.772269;116.40586,39.768155;116.415311,39.769071;116.406524,39.763751;116.374446,39.756918;116.370963,39.758609;116.366839,39.772909;116.364183,39.774413;116.361546,39.775907"
7450,42-大兴-团河-瀛海镇,57,"116.353472,39.764822;116.364183,39.774413;116.366839,39.772909;116.370963,39.758609;116.374446,39.756918;116.406524,39.763751;116.415311,39.769071;116.441561,39.772847;116.466468,39.769836;116.469758,39.763636;116.480493,39.760412;116.487318,39.760558;116.486939,39.751049;116.497988,39.738236;116.514403,39.739297;116.512942,39.748067;116.526344,39.747623;116.521635,39.742231;116.526728,39.740578;116.526255,39.729325;116.531725,39.726842;116.53128,39.721101;116.528525,39.716996;116.523195,39.718675;116.521485,39.715982;116.530145,39.710981;116.540723,39.714196;116.567368,39.713917;116.567955,39.708421;116.535781,39.692537;116.515126,39.702411;116.502428,39.703871;116.497754,39.706878;116.483475,39.723066;116.478818,39.725157;116.459907,39.7241;116.455867,39.726037;116.445844,39.727186;116.440905,39.724723;116.431395,39.723238;116.411965,39.721414;116.408448,39.736836;116.400914,39.741382;116.396918,39.741321;116.395634,39.738636;116.396227,39.729534;116.394724,39.725065;116.371235,39.723368;116.35839,39.722447;116.346847,39.724088;116.343861,39.746972;116.358312,39.748224;116.356815,39.754533;116.36084,39.755984;116.357848,39.761597;116.354717,39.761398;116.353472,39.764822"
7451,43-大兴-西红门-北程庄,17,"116.30075,39.756889;116.303835,39.768218;116.308916,39.778646;116.361546,39.775907;116.364183,39.774413;116.353472,39.764822;116.351216,39.766604;116.34824,39.766383;116.347921,39.761531;116.337514,39.761372;116.337324,39.758337;116.334568,39.757128;116.320072,39.756127;116.313362,39.757304;116.311106,39.755694;116.303286,39.75508;116.30075,39.756889"
7452,44-大兴-西红门-西红门镇,17,"116.308916,39.778646;116.311105,39.782136;116.315637,39.782576;116.316963,39.79473;116.319125,39.79711;116.322115,39.797206;116.322854,39.799238;116.334258,39.800967;116.33554,39.805635;116.340415,39.806329;116.349875,39.804998;116.350865,39.799306;116.361245,39.798123;116.360425,39.792394;116.361653,39.783829;116.361546,39.775907;116.308916,39.778646"
